,date,WEI
816,2023-08-26,1.84
817,2023-09-02,1.72
818,2023-09-09,1.92
819,2023-09-16,2.23
820,2023-09-23,1.53
821,2023-09-30,1.67
822,2023-10-07,1.99
823,2023-10-14,1.92
824,2023-10-21,1.98
825,2023-10-28,1.83
826,2023-11-04,1.92
827,2023-11-11,1.98
828,2023-11-18,1.83
829,2023-11-25,1.74
830,2023-12-02,2.11
831,2023-12-09,1.99
832,2023-12-16,1.88
833,2023-12-23,2.3
834,2023-12-30,1.91
835,2024-01-06,2.35
836,2024-01-13,1.68
837,2024-01-20,1.37
838,2024-01-27,1.33
839,2024-02-03,1.94
840,2024-02-10,1.38
841,2024-02-17,1.47
842,2024-02-24,1.58
843,2024-03-02,2.0
844,2024-03-09,1.6
845,2024-03-16,1.48
846,2024-03-23,1.65
847,2024-03-30,1.71
848,2024-04-06,1.9
